Topic,CTP2-T1,CTP2-T2,CTP2-T3,CTP2-T4,CTP2-T5,CTP2-T6,CTP2-T7,CTP2-T8,CTP2-T9,CTP2-T10,CTP2-T11,CTP2-T12,CTP2-T13,CTP2-T14,CTP2-T15,CTP2-T16,CTP2-T17,CTP2-T18,CTP2-T19,CTP2-T20,CTP2-T21,CTP2-T22,CTP2-T23,CTP2-T24,CTP2-T25,CTP2-T26,CTP2-T27,CTP2-T28,CTP2-T29,CTP2-T30,CTP2-T31,CTP2-T32,CTP2-T33,CTP2-T34,CTP2-T35,CTP2-T36,CTP2-T37,CTP2-T38,CTP2-T39,Divergence,DivergenceTNo,CTP2-T1,CTP2-T2,CTP2-T3,CTP2-T4,CTP2-T5,CTP2-T6,CTP2-T7,CTP2-T8,CTP2-T9,CTP2-T10,CTP2-T11,CTP2-T12,CTP2-T13,CTP2-T14,CTP2-T15,CTP2-T16,CTP2-T17,CTP2-T18,CTP2-T19,CTP2-T20,CTP2-T21,CTP2-T22,CTP2-T23,CTP2-T24,CTP2-T25,CTP2-T26,CTP2-T27,CTP2-T28,CTP2-T29,CTP2-T30,CTP2-T31,CTP2-T32,CTP2-T33,CTP2-T34,CTP2-T35,CTP2-T36,CTP2-T37,CTP2-T38,CTP2-T39,Self Diff,Average,FinalScoreAbsoluteDifferences,Max Similarity,EntropyChange
"CTP1-T11: classic, base, develop",0.294052099,0.200217152,0.156814183,0.086872479,0.164930752,0.191380982,0.099810778,0.176370458,0.172662891,0.168661358,0.190047257,0.214346606,0.191680383,0.203526729,0.201246511,0.037842703,0.23558567,0.129910448,0.311819291,0.072621271,0.341857955,0.056206542,0,0.067720843,0.37579447,0.164585365,0.081206465,0.129651101,0.229510678,0.151950332,0.14586109,0.051758487,0.080767291,0.068509403,0.17486492,0.066279528,0.01431201,0.03826109,0.066284594,0.37579447,CTP2-T23,0.227047669,0.302047782,0.015531724,0.228892448,0.12064122,0.14528554,0.195733747,0.323420915,0.141438987,0.093374692,1.11022E-16,0.043716725,0.068390443,0.049857445,0.116270855,0.37317069,0.169162165,0.209167607,0.444187652,0.1722477,0.491518422,0.576023288,0.501855097,0.540182877,0.364397382,0.175311538,0.574848832,0.318230579,0.303221397,0.017211883,0.373599483,0.806462858,0.7053594,0.744135314,0.212482105,0.650568737,0.033664101,0.67306445,0.685601392,1.11022E-16,0.320719083,0.320719083,0.37579447,83.53650859
"CTP1-T12: base, compar, challeng",0.389700748,0.184041556,0.135832283,0.033443653,0.157744874,0.148550742,0.108008411,0.142161736,0.145391105,0.144648741,0.170730136,0.187606606,0.169654758,0.163263118,0.178633633,0.050152098,0.224146525,0.127242155,0.152639761,0.027957307,0.180156246,0.021638062,0,0.02607077,0.140846453,0.179044279,0.031262384,0.024144697,0.127729028,0.122365801,0.034317567,0,0,0,0.068079976,0,0,0.014729528,0,0.389700748,CTP2-T23,0.572307635,0.105708722,0.263130153,0.318532842,0.221833344,0.092334827,0.096586187,0.284527873,0.420062256,0.076139636,0.043716725,1.11022E-16,0.207131456,0.009664289,0.348202136,0.240800237,0.177368203,0.091390782,0.452978185,0.485114,0.451843919,0.378393056,0.588509658,0.495940672,0.378236641,0.198184514,0.492793586,0.351081884,0.328991984,0.068277884,0.32619827,0.577760627,0.5825227,0.602162253,0.021241626,0.864018149,0.201773541,0.604726961,0.646365467,1.11022E-16,0.333330339,0.333330339,0.389700748,78.51670185
"CTP1-T13: base, classic, develop",0.46464371,0.214619239,0.157690384,0.03503722,0.184477679,0.170894808,0.127342073,0.16407693,0.168409607,0.167794596,0.198757776,0.217971994,0.197283718,0.188354532,0.207770241,0.059796797,0.262035907,0.149051231,0.177855502,0.029289453,0.209938165,0.0226691,0,0.027313023,0.16432853,0.211161735,0.032752015,0.025295175,0.147407725,0.145897845,0.035952775,0,0,0,0.081172368,0,0,0.01543138,0,0.46464371,CTP2-T23,0.445621824,0.086155855,0.316292519,0.387333257,0.184613002,0.185597997,0.221905066,0.34155746,0.394838542,0.156893998,0.068390443,0.207131456,0,0.112797132,0.37047185,0.0374753,0.23161729,0.087044237,0.396296778,0.228979904,0.343829111,0.408301396,0.529597596,0.421609701,0.311050521,0.117015058,0.542771272,0.270237242,0.351396612,0.065912206,0.269708571,0.593691278,0.617868996,0.596931116,0.00672858,0.883574652,0.176701461,0.596943304,0.674864651,0,0.322098611,0.322098611,0.46464371,16.11930319
"CTP1-T14: base, classic, applic",0.385052427,0.199852131,0.150155639,0.051135751,0.169336179,0.170051271,0.112094832,0.160747735,0.162135181,0.160391602,0.186662611,0.206732212,0.186317557,0.184894697,0.196008524,0.049553887,0.240977664,0.135673967,0.166293675,0.042747061,0.196194844,0.033084859,0,0.039862522,0.280041292,0.185563001,0.047800565,0.147108694,0.261189771,0.219054465,0.145846656,0.085209019,0.132965667,0.112785736,0.270574719,0.109114735,0.023561592,0.022521627,0.109123076,0.385052427,CTP2-T23,0.42542496,0.110890934,0.228085357,0.201784874,0.308485482,0.005784208,0.330937087,0.437216394,0.325965328,0.026749519,0.049857445,0.009664289,0.112797132,3.33067E-16,0.22179744,0.222765894,0.012187528,0.014579829,0.582650383,0.22002019,0.462581894,0.494289442,0.504233898,0.539056289,0.362021838,0.12943133,0.479573723,0.378584711,0.325535097,0.146776185,0.428047462,0.579513445,0.55574728,0.733192431,0.386165734,0.784472074,0.113767546,0.535707331,0.582094775,3.33067E-16,0.325485178,0.325485178,0.385052427,224.7729299
"CTP1-T15: base, classic, applic",0.508988383,0.236589469,0.174057081,0.039875536,0.203196808,0.189127121,0.139939335,0.181411504,0.186008711,0.185251565,0.219211172,0.240539559,0.217655703,0.208278488,0.22921071,0.065503685,0.28865531,0.16409828,0.196107979,0.033334056,0.231476649,0.025799494,0,0.031084699,0.181124976,0.232029496,0.037274766,0.028788205,0.162984914,0.159822046,0.040917521,0,0,0,0.088919297,0,0,0.017562311,0,0.508988383,CTP2-T23,0.560211637,0.1246463,0.38755092,0.187183826,0.166622738,0.038799735,0.45376971,0.270992602,0.170628218,0.342767244,0.116270855,0.348202136,0.37047185,0.22179744,2.22045E-16,0.455896852,0.290109724,0.28048935,0.106508671,0.3664409,0.146099057,0.054139917,0.242630346,0.163392233,0.106890421,0.032976005,0.174763627,0.063413213,0.357812876,0.008214757,0.248227067,0.144188679,0.188188887,0.185759087,0.068895144,0.572341207,0.0381159,0.338183317,0.305313853,2.22045E-16,0.228918587,0.228918587,0.508988383,31.48046391
"CTP1-T16: develop, complex, classic",0.451933758,0.174830197,0.123343343,0,0.154052016,0.122380852,0.113734113,0.121383252,0.12899456,0.130299083,0.159472081,0.171766471,0.156686764,0.138785541,0.165343292,0.058161104,0.218126218,0.126231671,0.143840268,0,0.169934933,0,0,0,0.134446916,0.189083013,0,0,0.108967069,0.141906928,0,0,0,0,0.078951963,0,0,0,0,0.451933758,CTP2-T4,0.632961991,0.316182397,0.200910156,0.364159864,0.092729273,0.166436278,0.216816308,0.272400538,0.207640592,0.004803297,0.37317069,0.240800237,0.0374753,0.222765894,0.455896852,4.44089E-16,0.144359987,0.41910045,0.279777507,0.590462742,0.315154026,0.298493028,0.561711305,0.582038426,0.411910971,0.265209415,0.461847134,0.576828358,0.230475381,0.047371051,0.156214149,0.316864374,0.222022654,0.362870453,0.028551119,0.462099395,0.305472283,0.459854955,0.271479494,4.44089E-16,0.30461364,0.30461364,0.451933758,103.4677067
"CTP1-T17: base, classic, applic",0.647168356,0.270797356,0.194727126,0.020537541,0.235897092,0.201668837,0.168968639,0.196845086,0.205697179,0.206418588,0.248762694,0.270221717,0.245588653,0.225508315,0.25891476,0.0832866,0.334498822,0.192058603,0.223546303,0.01716841,0.263993594,0.0132878,0,0.016009899,0.20782691,0.280591261,0.019198038,0.01482711,0.176776847,0.203210475,0.021074207,0,0,0,0.113059074,0,0,0.009045312,0,0.647168356,CTP2-T23,0.406788593,0.110089944,0.236104395,0.331424344,0.096975343,0.006954489,0.045867331,0.166907414,0.089030802,0.094142993,0.169162165,0.177368203,0.23161729,0.012187528,0.290109724,0.144359987,2.22045E-16,0.250861667,0.16827815,0.509354974,0.237266381,0.259918677,0.480915505,0.255256225,0.099852839,0.287482725,0.261582741,0.279850771,0.333956584,0.179935313,0.475375892,0.42160437,0.279995806,0.445259928,0.009328704,0.520488994,0.126767118,0.383001244,0.261654034,2.22045E-16,0.240449452,0.240449452,0.647168356,54.41755233
"CTP1-T18: base, develop, applic",0.648757343,0.297251136,0.218040457,0.04649889,0.255772867,0.235496026,0.177081497,0.226376936,0.232667832,0.231944335,0.275109553,0.301482955,0.272955358,0.259833078,0.287487474,0.083491093,0.363255859,0.206780442,0.246258718,0.038870866,0.290690879,0.030084808,0,0.03624789,0.227639175,0.293675421,0.043466131,0.033569946,0.203372437,0.203709416,0.04771395,0,0,0,0.113336668,0,0,0.020479423,0,0.648757343,CTP2-T23,0.303620742,0.470756015,0.00197899,0.179009131,0.026328344,0.006323742,0.089086615,0.072377912,0.08187437,0.010212399,0.209167607,0.091390782,0.087044237,0.014579829,0.28048935,0.41910045,0.250861667,2.22045E-16,0.139388817,0.35457474,0.197181829,0.335218496,0.317262543,0.253003817,0.108976491,0.216555099,0.373723628,0.200007476,0.33084467,0.186706853,0.337351854,0.433633348,0.357950627,0.381401292,0.022454807,0.564246718,0.214746474,0.365220831,0.394257603,2.22045E-16,0.228392374,0.228392374,0.648757343,128.2466759
"CTP1-T19: cryptographi, base, develop",0.334284501,0.245876692,0.194443279,0.117110558,0.201164022,0.24117419,0.118919268,0.221076011,0.21503174,0.209458065,0.234277935,0.265345364,0.23686236,0.255292688,0.248568347,0.043020366,0.287604922,0.157778036,0.31511176,0.097898871,0.351999826,0.075770596,0,0.091292729,0.402597869,0.195883305,0.10947235,0.175916698,0.295624368,0.186347903,0.197595392,0.070653803,0.110252766,0.093519927,0.226977243,0.090475998,0.019536853,0.051578793,0.090482914,0.402597869,CTP2-T23,0.40182833,0.063877445,0.394511155,0.334172642,0.297064454,0.175437385,0.610217872,0.404213411,0.152424588,0.479024723,0.444187652,0.452978185,0.396296778,0.582650383,0.106508671,0.279777507,0.16827815,0.139388817,0,0.236700976,0.154997953,0.489492027,0.379444513,0.496079164,0.369712351,0.099420158,0.486017136,0.340636494,0.430835085,0.198905392,0.32898512,0.499562306,0.519186767,0.574759158,0.25214356,0.619451351,0.184720998,0.639034655,0.558710571,0,0.361621944,0.361621944,0.402597869,12.29693577
"CTP1-T20: cryptographi, base, classic",0.294675495,0.300345649,0.245431284,0.187232474,0.239884106,0.320653749,0.129784052,0.289050712,0.275349253,0.265746149,0.289949987,0.333096935,0.295559592,0.334522646,0.30968213,0.03792293,0.344089227,0.185279747,0.343248769,0.156517465,0.388360788,0.121139514,0,0.145955786,0.317870853,0.212856239,0.17502076,0.135172773,0.260093579,0.092527928,0.192125036,0,0,0,0.051479246,0,0,0.082462463,0,0.388360788,CTP2-T23,0.674019872,0.471998846,0.160051811,0.110353727,0.193736469,0.280086761,0.347832637,0.126536858,0.219876126,0.328732198,0.1722477,0.485114,0.228979904,0.22002019,0.3664409,0.590462742,0.509354974,0.35457474,0.236700976,2.22045E-16,0.423408508,0.173788343,0.391447726,0.164239131,0.489733606,0.100124645,0.296558665,0.185459401,0.162718568,0.178224136,0.024015969,0.352262076,0.316473582,0.213580072,0.015737267,0.239169406,0.035355856,0.194205318,0.410644282,2.22045E-16,0.274849158,0.274849158,0.388360788,28.57169799
"CTP1-T21: cryptographi, base, develop",0.384693919,0.252748416,0.197018524,0.104421681,0.208897475,0.238501666,0.12783556,0.220389891,0.216459488,0.211739776,0.239462456,0.269520394,0.241232955,0.254234967,0.253329932,0.049507749,0.298254614,0.164879594,0.35577499,0.087291571,0.393678987,0.067560885,0,0.081401202,0.412948941,0.210903844,0.097611069,0.139742683,0.266353738,0.178115481,0.161684226,0.049764891,0.077656356,0.065870608,0.1859432,0.063726622,0.013760751,0.045990254,0.063731493,0.412948941,CTP2-T23,0.38581231,0.072654229,0.454029667,0.418850148,0.312552086,0.381750813,0.670825242,0.521115467,0.182889738,0.396969583,0.491518422,0.451843919,0.343829111,0.462581894,0.146099057,0.315154026,0.237266381,0.197181829,0.154997953,0.423408508,1.11022E-16,0.308183443,0.286272547,0.336367127,0.233960463,0.103774061,0.348560262,0.186767146,0.59508885,0.376550596,0.506528922,0.426013732,0.393771716,0.403120067,0.139750314,0.470187901,0.13220621,0.578134395,0.430844247,1.11022E-16,0.349405589,0.349405589,0.412948941,42.38770986
"CTP1-T22: cryptographi, classic, base",0.247110064,0.298888557,0.247452522,0.204256204,0.236348376,0.329672798,0.122871341,0.295360458,0.279160908,0.268470023,0.290074613,0.335121771,0.296652538,0.342103577,0.310634851,0.031801551,0.339485789,0.181356603,0.333870118,0.170748496,0.37878655,0.132153876,0,0.159226518,0.474108236,0.201099286,0.190934165,0.291602644,0.418490941,0.205978786,0.331735764,0.111460763,0.173930586,0.147533493,0.309112519,0.142731506,0.030820599,0.089960194,0.142742416,0.474108236,CTP2-T23,0.447489881,0.372346601,0.337986267,0.04313748,0.354191151,0.350857217,0.725043368,0.442729498,0.250023321,0.474988201,0.576023288,0.378393056,0.408301396,0.494289442,0.054139917,0.298493028,0.259918677,0.335218496,0.489492027,0.173788343,0.308183443,0,0.063173151,0.014326889,0.315021054,0.080283425,0.040145322,0.078938593,0.430613709,0.441126931,0.327374566,0.144584828,0.217620737,0.218845619,0.482659083,0.211007921,0.096821354,0.144069927,0.312426195,0,0.294580879,0.294580879,0.474108236,19.29131115
"CTP1-T23: cryptographi, channel, classic",0.275557676,0.330694878,0.273635489,0.22515602,0.261610068,0.364261938,0.136239714,0.326431723,0.308627878,0.296852215,0.320871592,0.37061409,0.328103086,0.378079463,0.343576676,0.035462584,0.375749096,0.200796746,0.298207241,0.188219751,0.34788606,0.145676069,0,0.175518826,0.340877713,0.222999406,0.210470849,0.225672983,0.360634601,0.142747594,0.284527755,0.048810627,0.07616726,0.064607509,0.164600453,0.062504635,0.013496882,0.099165062,0.062509412,0.378079463,CTP2-T23,0.610295701,0.611069318,0.559292051,0.193090067,0.415977155,0.432112708,0.607662867,0.410037646,0.463113259,0.552349929,0.501855097,0.588509658,0.529597596,0.504233898,0.242630346,0.561711305,0.480915505,0.317262543,0.379444513,0.391447726,0.286272547,0.063173151,2.22045E-16,0.043607081,0.379912953,0.072449784,0.089498513,0.019831736,0.350989769,0.416259248,0.199252886,0.137003036,0.198170075,0.162074761,0.213560776,0.213783007,0.136854708,0.130505251,0.253638612,2.22045E-16,0.334722284,0.334722284,0.378079463,25.44893132
