Topic,CTP3-T1,CTP3-T2,CTP3-T3,CTP3-T4,CTP3-T5,CTP3-T6,CTP3-T7,CTP3-T8,CTP3-T9,CTP3-T10,CTP3-T11,CTP3-T12,CTP3-T13,CTP3-T14,CTP3-T15,CTP3-T16,CTP3-T17,CTP3-T18,CTP3-T19,CTP3-T20,CTP3-T21,CTP3-T22,CTP3-T23,CTP3-T24,CTP3-T25,CTP3-T26,CTP3-T27,CTP3-T28,CTP3-T29,CTP3-T30,CTP3-T31,CTP3-T32,CTP3-T33,CTP3-T34,CTP3-T35,CTP3-T36,CTP3-T37,CTP3-T38,CTP3-T39,Divergence,DivergenceTNo,Abs-CTP3-T1,Abs-CTP3-T2,Abs-CTP3-T3,Abs-CTP3-T4,Abs-CTP3-T5,Abs-CTP3-T6,Abs-CTP3-T7,Abs-CTP3-T8,Abs-CTP3-T9,Abs-CTP3-T10,Abs-CTP3-T11,Abs-CTP3-T12,Abs-CTP3-T13,Abs-CTP3-T14,Abs-CTP3-T15,Abs-CTP3-T16,Abs-CTP3-T17,Abs-CTP3-T18,Abs-CTP3-T19,Abs-CTP3-T20,Abs-CTP3-T21,Abs-CTP3-T22,Abs-CTP3-T23,Abs-CTP3-T24,Abs-CTP3-T25,Abs-CTP3-T26,Abs-CTP3-T27,Abs-CTP3-T28,Abs-CTP3-T29,Abs-CTP3-T30,Abs-CTP3-T31,Abs-CTP3-T32,Abs-CTP3-T33,Abs-CTP3-T34,Abs-CTP3-T35,Abs-CTP3-T36,Abs-CTP3-T37,Abs-CTP3-T38,Abs-CTP3-T39,Self Diff,Average,FinalScoreAbsoluteDifferences,Max Similarity,EntropyChange
"CTP2-T22: key, secur, distribut",0,0,0,0.276866847,0.0774398,0.161859817,0,0.129422215,0.218395659,0,0,0,0,0.065450324,0.334476763,0,0,0,0.319656826,0.419297391,0.32104043,0.639307223,0.554585386,0.5875515,0.320237175,0.370147743,0.548494041,0.556063062,0.282206478,0.162104107,0.184923066,0.578394812,0.592697831,0.67025711,0.043883835,0.422524681,0.280564905,0.344685772,0.425432781,0.67025711,CTP3-T1,0,0.081893058,0.133593238,0.107842276,0.008206629,0.01323793,0.215990966,0.025559912,0.11105616,0.122216321,0.150420416,0.089358619,0.185854197,0.123982508,0.084455219,0.140843883,0.137603346,0.017607985,0.240367971,0.088419636,0.133156572,1.11022E-16,0.011312724,0.038561981,0.044972624,0.15843009,0.044483807,0.062620392,0.004044052,0.105398126,0.106579698,0.014034313,0.111293687,0.015914514,0.023378299,0.093745867,0.019613371,0.02356665,0.139803199,1.11022E-16,0.084984743,0.084984743,0.67025711,-11.26920973
"CTP2-T23: key, qkd, secur",0,0,0,0.300749656,0.097619489,0.060047211,0,0.149151756,0.19393418,0,0,0,0,0,0.326144467,0,0,0,0.321302335,0.36585,0.323535616,0.656696134,0.586890933,0.603366935,0.341491743,0.38887175,0.563887485,0.554630152,0.351393951,0.180886608,0.283633322,0.583853827,0.60726402,0.685071746,0.028169322,0.433767292,0.265694319,0.341532972,0.43725793,0.685071746,CTP3-T1,0,0.034731688,0.214106059,0.033517991,0.035132642,0.17879243,0.199904519,0.108798548,0.162094532,0.2261102,0.196878882,0.165023873,0.266204195,0.240677898,0.145123775,0.114192543,0.189967624,0.014635544,0.238157807,0.113736673,0.166110386,0.011312724,0,0.072676221,0.072974874,0.198042385,0.002967355,0.000107307,0.003220884,0.094084954,0.067862167,0.020477152,0.022085918,0.014670388,0.016215467,0.048796177,0.087432398,0.028294876,0.067368924,0,0.101907578,0.101907578,0.685071746,-3.080644482
"CTP2-T24: key, secur, qkd",0,0,0,0.284875443,0.098208995,0.148213643,0,0.133007404,0.202830445,0,0,0,0,0.078858278,0.323815017,0,0,0,0.313373289,0.389136015,0.316804027,0.596855624,0.60200472,0.642661202,0.328997574,0.313704553,0.483875251,0.473677269,0.201596889,0.065971343,0.107960484,0.60842235,0.630894198,0.627981203,0.030916938,0.443018477,0.292891759,0.377658752,0.444821673,0.642661202,CTP3-T1,0,0.114935462,0.151550965,0.061831484,0.02211124,0.061575128,0.125120927,0.092105147,0.113277132,0.145956485,0.171270441,0.111019781,0.196840792,0.142862349,0.103656953,0.160458716,0.053995035,0.061047374,0.231978182,0.011949548,0.132483551,0.038561981,0.072676221,0,0.020001377,0.173220662,0.075137018,0.006490259,0.100832129,0.155464625,0.138189657,0.036270287,0.015433841,0.026277231,0.015701946,0.055149952,0.028310654,0.000695789,0.093437829,0,0.087312583,0.087312583,0.642661202,-10.34706618
"CTP2-T25: high, key, channel",0,0,0,0.22325951,0.090100401,0.078655451,0,0.117573793,0.101072212,0,0,0,0.067080813,0.07535747,0.204713797,0.101133022,0.190462935,0,0.211948841,0.07409333,0.32251185,0.255315105,0.305419116,0.333401593,0.487913308,0.375572756,0.227710421,0.29080122,0.24469556,0.113548111,0.099046762,0.332911135,0.45214365,0.348720927,0.286687046,0.415260586,0.243896706,0.208662601,0.41457497,0.487913308,CTP3-T1,0.297492527,0.042743369,0.036504967,0.017847853,0.107745703,0.119181796,0.073937298,0.104531805,0.07989225,0.034618628,0.038448808,0.044697057,0.035340153,0.053356109,0.069108032,0.001381958,0.078595425,0.051904528,0.042160291,0.030612257,0.090620671,0.044972624,0.072974874,0.020001377,0,0.207265659,0.002888176,0.014056938,0.11575717,0.020727662,0.054444123,0.044286102,0.099863693,0.086637014,0.079994596,0.056241448,0.029177354,0.000432711,0.02861039,0,0.063922458,0.063922458,0.487913308,-19.23551156
"CTP2-T26: protocol, transmiss, high",0,0.003934848,0.033359423,0.218797978,0.04946215,0.082505895,0.040357431,0.173981487,0.098840519,0.059927885,0.044643503,0.063726262,0.139044961,0.097425069,0.148647345,0.145085421,0.216806896,0,0.228850648,0.159442666,0.209808377,0.230364802,0.272215065,0.184264397,0.343852518,0.721016347,0.173927384,0.222762153,0.299843087,0.115863329,0.172266698,0.221214685,0.199657606,0.266378306,0.062957681,0.274542922,0.160186362,0.122479551,0.275110074,0.721016347,CTP3-T1,0.418386565,0.247466834,0.165563626,0.123419536,0.234336041,0.163804692,0.021143234,0.092339584,0.026529631,0.275991181,0.241079144,0.172374188,0.132234968,0.386916287,0.268156107,0.138683298,0.123808933,0.228977036,0.075118754,0.072580678,0.158486063,0.15843009,0.198042385,0.173220662,0.207265659,2.22045E-16,0.270546518,0.134625312,0.162632474,0.13357323,0.047652836,0.094356979,0.02507019,0.079613861,0.023777146,0.064030646,0.06597356,0.013136841,0.061266385,2.22045E-16,0.149489767,0.149489767,0.721016347,-21.75676454
"CTP2-T27: key, secur, transmiss",0,0,0,0.274322753,0.062099753,0.188577278,0,0.140299829,0.196030316,0,0,0,0,0.094561758,0.316688531,0,0,0,0.308876613,0.403682518,0.307655985,0.544287941,0.468265543,0.460005704,0.292283866,0.350034994,0.524006934,0.532320183,0.235273709,0.15511226,0.171062936,0.49190006,0.53757538,0.576568012,0.042163095,0.401149541,0.252503986,0.256639292,0.4040493,0.576568012,CTP3-T1,0,0.051912859,0.13527169,0.134342352,0.02445721,0.069280962,0.071189545,0.114943457,0.04947965,0.066991883,0.089137519,0.082950095,0.140657285,0.069919191,0.129875101,0.102676092,0.070110096,0.010099155,0.148062301,0.197949939,0.08349561,0.044483807,0.002967355,0.075137018,0.002888176,0.270546518,0,0.037386027,0.064188082,0.123327254,0.045993474,0.006689321,0.019269102,0.084273256,0.023855191,0.048336163,0.046770189,0.078629641,0.05656761,0,0.075634478,0.075634478,0.576568012,-14.45872268
"CTP2-T28: key, secur, optic",0,0,0,0.250621276,0.067699038,0.185143933,0,0.108114162,0.229079571,0,0,0,0,0.073032337,0.328748911,0,0,0,0.306618539,0.40254451,0.308374974,0.522295227,0.427285171,0.465886195,0.370171323,0.340228819,0.50698417,0.59241536,0.347007379,0.165086888,0.182850728,0.529725981,0.611323677,0.621657937,0.269571532,0.463668594,0.302134924,0.261514303,0.462453989,0.621657937,CTP3-T1,0,0.071143653,0.06715986,0.120046543,0.073283307,0.028727147,0.109132669,0.090662025,0.036510495,0.095163421,0.045493137,0.031732218,0.078443272,0.065217156,0.036065789,0.076305749,0.056181296,0.03356438,0.276309929,0.148920719,0.1574118,0.062620392,0.000107307,0.006490259,0.014056938,0.134625312,0.037386027,1.11022E-16,0.015814192,0.114998991,0.012558738,0.029775232,0.090122704,0.072141862,0.023005986,0.06248932,0.029334759,0.027226196,0.097835309,1.11022E-16,0.066528002,0.066528002,0.621657937,-7.122877399
"CTP2-T29: optic, high, communic",0,0.105481259,0.083720705,0,0.078315665,0.202891894,0,0.085693155,0,0,0,0,0.054367923,0.102138093,0,0.069412019,0.224330419,0,0,0.034689806,0,0.088595154,0,0,0.277216991,0.389546821,0.093321702,0.162343322,0.440039077,0.241758275,0.316469786,0.177591203,0.16359827,0.242456345,0.259050655,0.269356335,0.248899914,0.203042697,0.270548739,0.440039077,CTP3-T1,0.241112922,0.414553095,0.327186914,0.28696826,0.29389123,0.423378298,0.227861521,0.350677018,0.172477131,0.150588871,0.288487138,0.312069842,0.187618667,0.387403125,0.165265067,0.081208117,0.203400449,0.248743541,0.018271864,0.39735093,0.138276047,0.004044052,0.003220884,0.100832129,0.11575717,0.162632474,0.064188082,0.015814192,1.11022E-16,0.220631917,0.116415079,0.000924007,0.066890849,0.04527301,0.074403274,0.004364939,0.199883188,0.202980065,0.072514222,1.11022E-16,0.178619989,0.178619989,0.440039077,-8.009398961
"CTP2-T30: optic, photon, function",0,0.205715433,0.164670632,0.146076796,0.2654657,0.218096865,0.070968127,0.17101598,0.165259261,0.050396281,0.07831228,0.064191389,0.161563602,0.095159328,0.187163717,0.172702014,0.243154687,0.172113981,0.085691381,0.047002472,0.095065374,0.199996168,0.118546149,0.134301063,0.268424564,0.209432268,0.190817008,0.245714892,0.372719282,0.393552273,0.336167028,0.30154667,0.295841513,0.365804285,0.230584559,0.306603201,0.306393948,0.296219083,0.322615101,0.393552273,CTP3-T1,0.167102405,0.254055967,0.169193099,0.269291839,0.3746019,0.351750173,0.26053868,0.313084494,0.222803309,0.04671613,0.237529296,0.330509926,0.043644419,0.049199596,0.247412663,0.014660608,0.039347781,0.060579969,0.070288283,0.120250853,0.301531944,0.105398126,0.094084954,0.155464625,0.020727662,0.13357323,0.123327254,0.114998991,0.220631917,2.22045E-16,0.131206696,0.27696115,0.28825938,0.235472689,0.160477128,0.043349958,0.220775675,0.182105533,0.278029626,2.22045E-16,0.177077314,0.177077314,0.393552273,-20.82215742
"CTP2-T31: optic, high, function",0,0.153387743,0.121744186,0.063619693,0.184881186,0.248358933,0,0.124612465,0.079642361,0,0,0,0,0.103803007,0.093921703,0,0.05351963,0,0.078160509,0.050444894,0.08671068,0.190839833,0.108127879,0.122498194,0.257345799,0.2073408,0.182916582,0.235338126,0.474768592,0.267767611,0.411615762,0.271661557,0.267438135,0.339879487,0.185134982,0.276957838,0.22389171,0.26243213,0.290771064,0.474768592,CTP3-T1,0,0.349557448,0.08851121,0.305846764,0.194825285,0.325294133,0.019148499,0.170671366,0.07788604,0.173455014,0.012669692,0.115222438,0.047488093,0.028277656,0.129243375,0.114169345,0.15203805,0.129200929,0.035005984,0.311599209,0.174902645,0.106579698,0.067862167,0.138189657,0.054444123,0.047652836,0.045993474,0.012558738,0.116415079,0.131206696,0,0.103055312,0.109381571,0.130182127,0.126023662,0.046607293,0.177544224,0.04148831,0.097888034,0,0.118633847,0.118633847,0.474768592,-12.16152527
