Cluster3Words,Doc:1 SubA:1,Doc:2 SubA:3,Doc:3 SubA:1,Doc:4 SubA:1,Doc:5 SubA:1,Doc:6 SubA:2,Doc:7 SubA:3,Doc:8 SubA:3,Doc:9 SubA:3,Doc:10 SubA:3,Doc:11 SubA:3,Doc:12 SubA:3,Doc:13 SubA:3,Doc:14 SubA:3,Doc:15 SubA:3,Doc:16 SubA:3,Doc:17 SubA:2,Doc:18 SubA:2,Doc:19 SubA:3,Doc:20 SubA:3,Doc:21 SubA:3,Doc:22 SubA:2,Doc:23 SubA:3,Doc:24 SubA:1,Doc:25 SubA:3,Doc:26 SubA:2,Doc:27 SubA:2,Doc:28 SubA:2,Doc:29 SubA:2,Doc:30 SubA:2,Doc:31 SubA:1,Doc:32 SubA:2,Doc:33 SubA:2,Doc:34 SubA:3,Doc:35 SubA:3,Doc:36 SubA:3,Rewards_AvgScore,MaxScore,Top 5 Docs,Modified Rewards= Rewards_AvgScore +  CTP2 Entropy * Lambda = 0.5,Current Q-value ,"Max Next Q-value (max Q(s',a')) (e.g., 0.459)",the updated Q-value
"CTP3-T13: classic, comput, model",0.045431792,0.1232007,0.021654817,0.142814627,0.053430712,0.006216809,0.023727145,0.014465463,0.029048038,0.104683999,0.084766355,0.174130052,0.023022522,0.127858911,0.099106277,0.087883887,0.015260208,0.225330711,0.228242661,0.292422316,0.050692218,0.336909468,0.034676658,0.268912589,0.311952668,0.019140323,0.023687431,0.058314858,0.196906789,0.183122436,0.075664454,0.311259034,0.033271863,0.048865792,0.100840531,0.137977577,0.32004039,0.304291215,22-25-32-20-24,2.207548922,0.6862041,0.585846276,0.891064747
"CTP3-T14: network, model, classic",0.033591529,0.125152319,0.031053382,0.081602537,0.043029646,0.009282674,0.014441379,0.006041932,0.02526068,0.114164859,0.089737138,0.199633737,0.005362148,0.11201472,0.078502367,0.09050495,0.01690633,0.270287807,0.36576582,0.468615673,0.037383932,0.212840972,0.033053216,0.320136584,0.49278385,0.012387849,0.01996375,0.054011455,0.172719413,0.166238346,0.072823626,0.225510299,0.034138007,0.08086264,0.124252991,0.181054705,0.411825482,0.383517947,25-20-19-24-18,1.515768768,0.3495867,0.585846276,0.518931072
"CTP3-T15: classic, model, network",0.112319432,0.099879524,0.024958291,0.052893519,0.111988615,0.061127551,0.049643348,0.091318427,0.042308714,0.054797591,0.164693705,0.248748538,0.110673938,0.068032652,0.053203993,0.172223291,0.006132243,0.221533419,0.209403818,0.26828617,0.197773239,0.525876419,0.047611898,0.292718392,0.31163741,0.01566995,0.038157164,0.043877763,0.138193793,0.174928846,0.135692899,0.34190447,0.027510841,0.019134756,0.095947181,0.16889103,0.393139433,0.348084572,22-32-25-24-20,1.227703707,0.265017355,0.585846276,0.414012155
"CTP3-T16: model, network, design",0.032266518,0.156002495,0.002286674,0.033785857,0,0,0.033511017,0,0.003810802,0.095854476,0.038624488,0.099110022,0,0.052558651,0.048513873,0.039452672,0.022587427,0.401861806,0.235202018,0.301338578,0.008398645,0.070079795,0,0.543955717,0.314316576,0,0.006475903,0.045825527,0.192831425,0.060404093,0.048730648,0.096391747,0.010092248,0.022503896,0.04518165,0.057814218,0.390368169,0.359334939,24-18-25-20-19,0.640947532,0.16273998,0.585846276,0.2632869
"CTP3-T17: classic, model, network",0.045059089,0.120665271,0.029229449,0.079111205,0.025187186,0,0.020691293,0.010365281,0.045525618,0.049558078,0.138953748,0.170956468,0,0.047118378,0.028170654,0.03700822,0.03154257,0.254424937,0.25518645,0.326942442,0.091684042,0.356751012,0.012972408,0.277722656,0.339483067,0,0.026136428,0.084977351,0.147059025,0.225912463,0.100273404,0.276033707,0.059016785,0.058081227,0.045170005,0.075229016,0.34105884,0.315386577,22-25-20-24-32,0.928913001,0.196518587,0.585846276,0.322484193
"CTP3-T18: model, develop, comput",0.008898695,0.169438443,0.018629628,0.067580091,0.030624263,0,0.040294226,0,0.009171257,0.04170894,0.021218968,0.069069303,0,0.048673367,0.032270587,0.015564593,0.006229325,0.393049234,0.089739543,0.114973444,0.020212576,0.028668296,0.023948989,0.558733015,0.123837329,0.01312851,0.00550585,0.019425601,0.246680755,0.025662085,0.019486824,0,0.025871364,0.019510834,0.03110843,0.060133546,0.475891124,0.298347755,24-18-29-2 -25,0.945041888,0.212430861,0.585846276,0.338418129
"CTP3-T19: secur, technolog, key",0.181164917,0.104636727,0.037060019,0.093411727,0.201656547,0.232011015,0.143410836,0.17031122,0.121019731,0.100478825,0.229910632,0.234910617,0.19745693,0.082509659,0.073163765,0.285348885,0.00598402,0.098349933,0.089756097,0.11488312,0.267440177,0.427615992,0.063393013,0.062095556,0.155052551,0.080512316,0.127885464,0.074706037,0.110851088,0.083092325,0.202054187,0.153295699,0.038012702,0.044175876,0.197401426,0.251460101,0.427615992,0.289465337,22-16-21-12-6 ,0.740485859,2.783283208,0.585846276,2.631729638
"CTP3-T20: technolog, protocol, qkd",0.241013592,0.044212289,0.028229622,0.016458536,0.251649546,0.070138973,0.097563437,0.117417626,0.116531722,0.028230087,0.139499808,0.184324699,0.259468042,0.055208525,0.056140574,0.140519284,0.007112376,0.048385905,0.121101698,0.134328513,0.050051519,0.151027899,0.078384033,0,0.231496221,0.056230277,0.090045779,0.090097333,0.030679729,0.043460395,0.258904895,0.079400708,0.006852448,0.004412552,0.081247941,0.224243783,0,0.248506459,13-31-5 -1 -25,0.31681576,0.171027491,0.585846276,0.238332483
"CTP3-T21: technolog, secur, challeng",0.17985979,0.08324134,0.030687893,0.080553779,0.181546556,0.181922423,0.102101924,0.127141297,0.105447181,0.074080938,0.15942109,0.172705618,0.174267319,0.054300099,0.051316021,0.200463039,0.008261322,0.076610894,0.078819739,0.100194248,0.174727368,0.332227602,0.046664077,0.044341241,0.140376204,0.055953551,0.13426603,0.074727793,0.097036608,0.081383158,0.181778674,0.153302458,0.03782884,0.036026018,0.151541438,0.187994288,0.332227602,0.215587659,22-16-6 -31-5 ,2.507127931,1.79988033,0.585846276,1.923331255
"CTP3-T22: key, classic, secur",0.133211309,0.061674759,0.011597645,0.017019203,0.187348079,0.160146209,0.186531798,0.232091866,0.148576869,0.066826938,0.373811895,0.360254073,0.1778936,0.094943641,0.099467545,0.469042541,0.001455458,0.044353296,0.118488291,0.138206579,0.433334879,0.672794767,0.150384412,0.022687541,0.166090209,0.044470536,0.064178487,0.048726829,0.052229684,0.130952108,0.158991208,0.257248073,0.016583401,0.014890258,0.209191191,0.369055655,0.446382302,0.461847631,22-16-21-11-12,1.914660102,0.544104393,0.585846276,0.733886129
